Black  ,#000000 
Navy  ,#000080 
DarkBlue  ,#00008B 
MediumBlue  ,#0000CD 
Blue  ,#0000FF 
DarkGreen  ,#006400 
Green  ,#008000 
Teal  ,#008080 
DarkCyan  ,#008B8B 
DeepSkyBlue  ,#00BFFF 
DarkTurquoise  ,#00CED1 
MediumSpringGreen  ,#00FA9A 
Lime  ,#00FF00 
Cyan  ,#00FFFF 
MidnightBlue  ,#191970 
DodgerBlue  ,#1E90FF 
LightSeaGreen  ,#20B2AA 
ForestGreen  ,#228B22 
SeaGreen  ,#2E8B57 
DarkSlateGray  ,#2F4F4F 
LimeGreen  ,#32CD32 
MediumSeaGreen  ,#3CB371 
Turquoise  ,#40E0D0 
RoyalBlue  ,#4169E1 
SteelBlue  ,#4682B4 
DarkSlateBlue  ,#483D8B 
MediumTurquoise  ,#48D1CC 
Indigo   ,#4B0082 
DarkOliveGreen  ,#556B2F 
CadetBlue  ,#5F9EA0 
CornflowerBlue  ,#6495ED 
MediumAquaMarine  ,#66CDAA 
DimGray  ,#696969 
SlateBlue  ,#6A5ACD 
OliveDrab  ,#6B8E23 
SlateGray  ,#708090 
MediumSlateBlue  ,#7B68EE 
LawnGreen  ,#7CFC00 
Aquamarine  ,#7FFFD4 
Maroon  ,#800000 
Purple  ,#800080 
Olive  ,#808000 
SkyBlue  ,#87CEEB 
BlueViolet  ,#8A2BE2 
DarkRed  ,#8B0000 
DarkMagenta  ,#8B008B 
SaddleBrown  ,#8B4513 
DarkSeaGreen  ,#8FBC8F 
LightGreen  ,#90EE90 
MediumPurple  ,#9370DB 
DarkViolet  ,#9400D3 
PaleGreen  ,#98FB98 
DarkOrchid  ,#9932CC 
YellowGreen  ,#9ACD32 
Sienna  ,#A0522D 
Brown  ,#A52A2A 
DarkGray  ,#A9A9A9 
GreenYellow  ,#ADFF2F 
LightSteelBlue  ,#B0C4DE 
FireBrick  ,#B22222 
DarkGoldenRod  ,#B8860B 
MediumOrchid  ,#BA55D3 
RosyBrown  ,#BC8F8F 
DarkKhaki  ,#BDB76B 
Silver  ,#C0C0C0 
MediumVioletRed  ,#C71585 
IndianRed   ,#CD5C5C 
Peru  ,#CD853F 
Chocolate  ,#D2691E 
Tan  ,#D2B48C 
LightGray  ,#D3D3D3 
Thistle  ,#D8BFD8 
Orchid  ,#DA70D6 
GoldenRod  ,#DAA520 
PaleVioletRed  ,#DB7093 
Crimson  ,#DC143C 
Plum  ,#DDA0DD 
BurlyWood  ,#DEB887 
LightCyan  ,#E0FFFF 
Lavender  ,#E6E6FA 
DarkSalmon  ,#E9967A 
Violet  ,#EE82EE 
PaleGoldenRod  ,#EEE8AA 
LightCoral  ,#F08080 
Khaki  ,#F0E68C 
SandyBrown  ,#F4A460 
Wheat  ,#F5DEB3 
Salmon  ,#FA8072 
AntiqueWhite  ,#FAEBD7 
Red  ,#FF0000 
Magenta  ,#FF00FF 
DeepPink  ,#FF1493 
OrangeRed  ,#FF4500 
Tomato  ,#FF6347 
HotPink  ,#FF69B4 
Coral  ,#FF7F50 
DarkOrange  ,#FF8C00 
LightSalmon  ,#FFA07A 
Orange  ,#FFA500 
Pink  ,#FFC0CB 
Gold  ,#FFD700 
Yellow  ,#FFFF00
